n_estimators,dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
285,hastie,CF-Iso,2,0.9815855228187071,0.05378019484883868,0.7848788381670242,0.9596305525836186,0.37009305036663054,1.195967203487112e-05,2.7077225883666413e-06
285,hastie,CF-Iso,3,0.982532580241293,0.053377520261720796,0.7864154966194945,0.6379842398749693,0.07152279469301213,0.0001578781537070238,1.0886055757615203e-09
285,hastie,CF-Iso,4,0.9857704750364088,0.04747293037973604,0.8100048366699095,0.6490670413495765,0.6452545807840053,0.00031624719278865014,7.357642373618887e-05
285,hastie,CF-Iso,5,0.9852734149790257,0.04810048971738926,0.8075671663513553,0.0,0.015102100832663352,0.0008200976699120231,3.1998078983730756e-06
285,hastie,CF-Iso,6,0.9820337589314486,0.05319553912936603,0.7871965631388498,0.0,0.6839563096529631,0.00016239953028067175,1.0270666904050789e-05
285,hastie,CF-Iso,7,0.9881356851282926,0.044667011456997696,0.8213205186852051,0.012707397745879478,0.0004326382962881879,0.0009289124375545046,4.748886993632563e-05
285,hastie,CF-Iso,8,0.9813096597173321,0.05468538177631186,0.7812024607246981,0.0,0.6448775831001359,0.00019996652016345093,3.126331230159979e-06
285,hastie,CF-Iso,9,0.9839813744665719,0.05033307126410071,0.798631916173139,0.0,0.5550753577534515,3.25614591637856e-05,6.889426818520025e-08
310,hastie,CF-Iso,0,0.980583526062978,0.05498781946431003,0.7798922010412781,0.0,0.8446543169894433,0.0005179143951657373,2.146155900920008e-05
310,hastie,CF-Iso,1,0.9829169258514414,0.05223615635215371,0.7909660938874855,0.8454491597894357,0.8299678655676979,4.429968296260806e-05,6.0648708575921554e-06
310,hastie,CF-Iso,2,0.9821097459728818,0.05241462880547133,0.7903411120512027,0.0,0.6156439202696277,2.7443992499996022e-05,3.079522894238765e-07
310,hastie,CF-Iso,3,0.9806588162275212,0.05635487251135001,0.7745019364071081,0.0830242454266279,0.61764003867965,0.0003678297169692216,2.6091569419714535e-06
310,hastie,CF-Iso,4,0.9862193861102155,0.046535893629346396,0.81375502544091,0.18318671823424926,0.9716820914034073,9.737607722278354e-05,2.6614161568494663e-05
310,hastie,CF-Iso,5,0.9857523807153058,0.04766630259853565,0.8093041935231293,0.0,0.02781405617021196,0.0012049204132848037,4.702513647837081e-10
310,hastie,CF-Iso,6,0.9825440321809958,0.05295797688962232,0.788146907132224,0.8552570815002026,0.7391861967149826,0.00020065087656975181,2.119410508719837e-05
310,hastie,CF-Iso,7,0.9878647789014052,0.04464839256030288,0.8213949990387269,0.042786212606098495,0.0005486491131615883,0.0005307248738552537,5.687829105735198e-05
310,hastie,CF-Iso,8,0.9811280576716529,0.05488354391562216,0.7804096091974659,0.0,0.3254178792929686,0.00025598606575064466,5.660331993869836e-06
310,hastie,CF-Iso,9,0.9836284228307255,0.050444011887820675,0.7981880747731214,0.0,0.592477585875897,3.3743956695272745e-05,1.8913950608779152e-06
335,hastie,CF-Iso,0,0.9801736790606654,0.05620563578288023,0.7750174692910861,0.8305249530398762,0.18603768047359814,0.00013856111673093722,6.4057889396425875e-06
