depth,dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
9,hastie,CF-Iso,4,0.9790056808706963,0.05852646491295612,0.7657666132820735,0.04240076916103275,0.0636021595575465,0.0006541172678183461,7.780437662157087e-05
9,hastie,CF-Iso,5,0.9817475159347789,0.05493002282907945,0.7802446501586632,0.00282833796040749,1.2599696670800651e-05,0.0008306401419567015,4.375768103142887e-05
9,hastie,CF-Iso,6,0.9772641708615306,0.06079194490361029,0.7568079011756764,0.17371638348236307,0.0014838399834097781,0.0004663139703614865,6.472662181032976e-06
9,hastie,CF-Iso,7,0.9824295421573648,0.054916654251566666,0.7803193234304329,0.00021273399140131488,1.4893493273648003e-06,0.0012429639813614792,7.347772143713815e-05
9,hastie,CF-Iso,8,0.9747995486844632,0.0638544126471642,0.744516945749455,0.12445273349055286,0.00988261215326241,0.00039907829220185855,2.773583337414611e-05
9,hastie,CF-Iso,9,0.9792725373399715,0.05747441279035459,0.7700614708778488,0.07442359360256934,0.000263144856579401,0.0005337597789359689,9.366420376423663e-06
11,hastie,CF-Iso,0,0.9771461928482476,0.060885043627463345,0.7562865181252579,0.057187783413853,0.3014865370664114,0.0003745163555899426,8.56255790437103e-06
11,hastie,CF-Iso,1,0.9807419969151268,0.05472252272165508,0.7810163787756034,0.06749386582969985,0.0024695938428985083,0.00037484192122846113,4.296996012072607e-06
11,hastie,CF-Iso,2,0.9800844090389494,0.055611523434520756,0.7775535108014917,0.0,0.0028246769923246044,0.000504410273874667,7.353526407227957e-06
11,hastie,CF-Iso,3,0.9804509660254951,0.05612520387839775,0.7754209311575324,0.27082082341174263,0.002217530101249377,0.00030080007674224287,1.8829297964874932e-06
11,hastie,CF-Iso,4,0.9829989661037677,0.05316128465051192,0.7872390248670467,0.010285419315270827,0.003188758896894337,0.0005665780467252858,3.459467826965328e-05
11,hastie,CF-Iso,5,0.9841081169023118,0.0510422562558666,0.7957982119340928,0.0,5.919659539913087e-05,0.0010405539238575697,2.499339668686097e-05
11,hastie,CF-Iso,6,0.9835027947239169,0.05223436680934419,0.7910416369263158,0.01994071898432004,3.2426291525218023e-06,0.0005172578285447799,2.4653896094261167e-05
11,hastie,CF-Iso,7,0.9865111367127496,0.04737044773646398,0.8105060814433565,8.012152058745059e-05,1.595616230951072e-07,0.0014214113820315755,5.512211694285468e-05
11,hastie,CF-Iso,8,0.9803825334841274,0.0548086674902633,0.7807091915919944,0.0,0.031293893838210386,0.0001984967635454229,1.4402967963932753e-07
11,hastie,CF-Iso,9,0.9820332503556187,0.053599334849222954,0.7855645387433292,0.22691535147633235,0.0024444937421568996,0.0002417364942649813,8.552686918269252e-06
13,hastie,CF-Iso,0,0.9787393257427504,0.057787037628739026,0.7686873604969529,0.7000449807297756,0.2157782166341934,0.00014144575832399854,1.601813882153723e-05
13,hastie,CF-Iso,1,0.983736609280675,0.05154101665616765,0.7937478407864386,0.051996257245791044,0.0010793196630916675,0.00025008573901023315,2.053280340414773e-06
13,hastie,CF-Iso,2,0.9820879681563879,0.0523578525489213,0.7905682174811459,0.0802424808450325,0.0018429626403131366,0.0006537716811916955,2.407989670904554e-05
13,hastie,CF-Iso,3,0.9819768310380149,0.05360926145490781,0.7854882087384358,0.20356555571163726,0.0014065551145092067,0.0002815547865642003,1.1998759187603578e-06
13,hastie,CF-Iso,4,0.9828982445998378,0.051947778016757505,0.7920956955894576,0.04119676574715647,0.01837348327661293,0.00034731008278784074,4.458089229262e-05
13,hastie,CF-Iso,5,0.985945745072876,0.048392562863904386,0.8063986862891604,0.0,2.1948439772399516e-06,0.0018526331018501434,1.1607970427033808e-05
13,hastie,CF-Iso,6,0.9829991888077697,0.05213805882451895,0.7914269073926634,0.31092573980139093,0.01230397733513011,0.0002380931102924937,3.268293567142294e-07
13,hastie,CF-Iso,7,0.9874091941884282,0.04603411892531482,0.8158517388100246,2.7440448772786397e-05,6.546265061784789e-07,0.0013442481163187252,7.122613902628952e-05
13,hastie,CF-Iso,8,0.983291278122755,0.05088883617494452,0.7963925317883598,0.2886995149750565,0.013983699942136012,0.0002493375216364647,1.3014567814206167e-05
13,hastie,CF-Iso,9,0.9842371977240398,0.050136359248763404,0.7994189041434607,0.021224151646277223,0.0017311879955163355,0.0006570636593259869,1.799310918122993e-05
15,hastie,CF-Iso,0,0.9801216420565736,0.056070332923873624,0.7755590658624522,0.14340982189831464,0.08338500356672561,0.0003048958383507491,7.983306914226634e-06
15,hastie,CF-Iso,1,0.9824020392709952,0.05198090930630868,0.7919875183325953,0.0,0.013464069319478593,0.0003759865680904756,4.020846386085404e-05
15,hastie,CF-Iso,2,0.9828377472671062,0.0517963280808667,0.7928143193464343,0.17131365420469746,0.0076679752836094975,0.0004503388643283516,1.402750983353652e-05
15,hastie,CF-Iso,3,0.982611941227521,0.05265301697474987,0.7893145199159401,0.2302983572029218,0.005933982086035765,0.00018512250221035885,5.042141810149909e-06
15,hastie,CF-Iso,4,0.9845424731242565,0.04866791351645577,0.8052223002976724,0.08331804627299655,0.0017624585823620218,0.0005876953312126826,5.2098529451387864e-05
15,hastie,CF-Iso,5,0.9854947838297612,0.04823979373863864,0.8070098608497862,0.001721004447238994,4.912804646560561e-07,0.0011641190283415378,1.605798149886422e-06
15,hastie,CF-Iso,6,0.9839283928392839,0.050524311861258706,0.7978825408090461,0.05441766775527146,0.0002339633050580583,0.0003468912774772058,1.55784653393597e-05
15,hastie,CF-Iso,7,0.9870422818171474,0.046631613563034385,0.813461607290729,0.0002451491993363808,7.342177783515464e-05,0.0010905440142638658,7.340762163131784e-05
15,hastie,CF-Iso,8,0.9831596888803533,0.05048111994647682,0.7980238143105562,0.22723621250503812,0.05530090679346787,0.00019182810278582256,1.947586283203664e-05
15,hastie,CF-Iso,9,0.985235152916074,0.04840767310951596,0.8063348782069507,0.20866501152243044,0.023498095794145826,0.0002827135664439506,1.5788858913177112e-05
17,hastie,CF-Iso,0,0.9806873776908023,0.05474875535420716,0.7808491379701724,0.5006093746110869,0.3333260495772684,0.0001592323860448064,1.413746461137691e-08
17,hastie,CF-Iso,1,0.9837999696759372,0.05052739868096984,0.797804045137177,0.319555084040941,0.05730995023973748,0.000228789895641131,6.675740256910328e-06
17,hastie,CF-Iso,2,0.983020192035897,0.05045438487311988,0.7981821017201458,0.0309633345724446,0.002557998033322419,0.0007504337677780121,3.302464299998394e-05
17,hastie,CF-Iso,3,0.9827782213891418,0.05197422837826334,0.7920306207121193,0.5233876508772896,0.10476398796441477,0.00017858260233496066,2.465931143871748e-05
17,hastie,CF-Iso,4,0.9863619081499928,0.045886849688049076,0.8163526154495484,0.008922593163931958,0.000358222269525337,0.0007283723990387185,6.049529480762121e-05
17,hastie,CF-Iso,5,0.9866700835111768,0.046929711707891036,0.8122510298892314,0.001260790783011112,3.9959134458469556e-06,0.0008969854662721625,3.344302109417659e-06
17,hastie,CF-Iso,6,0.9853243102087986,0.04861993837023462,0.8055007965987214,0.07885307775592909,0.0016127341821233398,0.0005112558324575579,1.9466697528556802e-05
17,hastie,CF-Iso,7,0.9873002983302043,0.045960999952519455,0.8161442334208611,1.4140140260021639e-05,4.009936343804428e-07,0.001474143804129593,6.310920038491941e-05
17,hastie,CF-Iso,8,0.9828489426626551,0.050398371168049946,0.7983548941807105,0.1772647513932708,0.09528262056292933,0.0004116062787803732,3.5759784064084946e-05
17,hastie,CF-Iso,9,0.9872421763869133,0.04535299873456409,0.818555748305887,0.11555602648391572,0.0011726961565108802,0.0002607891181671015,1.1416858944229369e-05
19,hastie,CF-Iso,0,0.980464552570717,0.05470344294995151,0.7810305165675309,0.024161046412259357,0.3221858987636389,0.0007903880792592358,2.068511624284902e-05
19,hastie,CF-Iso,1,0.983273967236673,0.051360856779500204,0.7944687882177668,0.07328994411386502,0.04548324078815649,0.00043269520726005664,7.814220634520217e-05
19,hastie,CF-Iso,2,0.9844155278498273,0.04813230864851666,0.80747042313113,0.024782686798094256,0.00033723875224043825,0.0009516521999879339,4.022605155947565e-05
19,hastie,CF-Iso,3,0.9848075951798315,0.04872555068402249,0.8050298610021437,0.18555518417951755,0.0067540950506182135,0.00028389232165693074,1.1027737920539063e-05
19,hastie,CF-Iso,4,0.9853244544251871,0.04796487165434996,0.8080359996490758,0.14679464507797313,0.016211075551344052,0.0004254679539724093,7.72450374084097e-05
19,hastie,CF-Iso,5,0.9876893581592425,0.04505764611864303,0.8197404938891141,9.01461477585963e-05,1.1319174164456179e-06,0.0014140834493589567,1.7151527313949868e-06
19,hastie,CF-Iso,6,0.9850682846062384,0.048854769081549135,0.8045613798117847,0.21648932458366987,0.0025816253222963477,0.00021332611418163318,1.861810788214051e-05
19,hastie,CF-Iso,7,0.9871202868094671,0.046008480359369476,0.8159542996376989,0.002415458406662574,0.000432599702262123,0.000891297977450116,7.54152110655143e-05
19,hastie,CF-Iso,8,0.9838654251043824,0.049969772821073594,0.8000697265657064,0.14210284275199903,0.03846570737500883,0.0006559814936073149,1.566995506610381e-05
19,hastie,CF-Iso,9,0.9861822101706971,0.04583703375336429,0.8166192639668036,0.36557743072162074,0.002735098266210894,0.0001629177247420507,6.070199671608586e-06
